"PROPERTYZIP.x","SALEYEAR","emmean","SE","df","lower.CL","upper.CL","adjusted_price"
15201,2014,570.351484223556,40.9628659377544,140620,490.065051229173,650.637917217938,325300.815556013
15202,2014,469.078708304048,40.9486505299906,140620,388.820137236725,549.337279371371,220034.834584194
15203,2014,558.631593641296,40.9929429319687,140620,478.286210314084,638.976976968507,312069.257414214
15204,2014,390.638163262689,40.986309993335,140620,310.30578036821,470.970546157167,152598.174597247
15205,2014,456.556314991742,40.9434881766706,140620,376.307862038092,536.804767945392,208443.668758839
15206,2014,527.52791927342,40.9522920323459,140620,447.262210931199,607.793627615642,278285.705612944
15207,2014,450.245783182675,40.9719377424286,140620,369.941569624813,530.549996740537,202721.26527378
15208,2014,496.447207448142,41.0064474971756,140620,416.075355431673,576.819059464611,246459.829783059
15209,2014,466.06618413574,40.966523542951,140620,385.772582305197,546.359785966282,217217.687994849
15210,2014,394.550280000853,40.9448897951131,140620,314.29907990189,474.801480099816,155669.923448752
15211,2014,506.630754739515,40.9766066314997,140620,426.317390248461,586.94411923057,256674.721647931
15212,2014,456.99617645037,40.9395715747969,140620,376.755399961408,537.236952939332,208845.505290258
15213,2014,568.320917916594,40.9784318018953,140620,488.003976126507,648.637859706681,322988.66574156
15214,2014,424.927616057602,40.9633048759612,140620,344.640322752738,505.214909362467,180563.478888397
15215,2014,529.903900825709,40.9643206601405,140620,449.6146166033,610.193185048117,280798.144110303
15216,2014,488.806717620293,40.9481672702209,140620,408.549093732867,569.06434150772,238932.007190725
15217,2014,613.272561070304,40.9495546523701,140620,533.012217940427,693.532904200181,376103.23416173
15218,2014,489.080872529137,40.9530463996996,140620,408.813685641344,569.348059416929,239200.099873862
15219,2014,446.911393132301,41.0051678581045,140620,366.542049183912,527.28073708069,199729.793311454
15220,2014,447.819326457848,40.9540842422354,140620,367.550105418555,528.088547497142,200542.149149161
15221,2014,419.120527725462,40.9318810125485,140620,338.894824591269,499.346230859654,175662.016760869
15222,2014,587.651834794758,41.3618639728958,140620,506.583373290409,668.720296299108,345334.678937646
