"PROPERTYZIP.x","SALEYEAR","emmean","SE","df","lower.CL","upper.CL","adjusted_price","lower_ci","upper_ci"
15233,2017,500.403845434722,28.854727316689,133470,443.8491062471,556.958584622344,250404.008525857,197002.029116349,310202.864984525
15234,2017,484.697851667627,28.5493418639085,133470,428.74166239677,540.654040938484,234932.007411213,183819.413074746,292306.791983112
15235,2017,404.302893984787,28.5157631625736,133470,348.412518356022,460.193269613553,163460.830084474,121391.282947185,211777.845397612
15236,2017,476.11540239747,28.5227564241187,133470,420.211320103644,532.019484691297,226685.876400105,176577.553543247,283044.732091193
15237,2017,498.580861446418,28.507276658211,133470,442.707119211397,554.45460368144,248582.875400652,195989.593400454,307419.907543542
15238,2017,532.313864586298,28.5250630052767,133470,476.405261435477,588.222467737119,283358.050430799,226961.973123405,346005.671550746
15239,2017,452.306548596543,28.545392925056,133470,396.358099173802,508.254998019283,204581.213903317,157099.74278067,258323.143011582
15241,2017,497.284409536879,28.5362906097784,133470,441.353800486043,553.215018587715,247291.783968443,194793.177203474,306046.856791006
15243,2017,526.44692963742,28.5534279984351,133470,470.482731617428,582.411127657412,277146.369724667,221354.000750197,339202.721619178
15201,2018,597.547768308044,28.5679322278575,133470,541.555142262963,653.540394353125,357063.335409923,293281.972111458,427115.047051238
15202,2018,496.263970952818,28.5414704659056,133470,440.323209478461,552.204732427175,246277.92886586,193884.528805413,304930.066514968
15203,2018,583.611322234486,28.5913485175968,133470,527.572800688664,639.649843780308,340602.175440285,278333.060026481,409151.922648173
15204,2018,423.017235549162,28.5856379881925,133470,366.989906536803,479.04456456152,178943.581571655,134681.591499892,229483.694835936
15205,2018,483.552273872465,28.5391765361467,133470,427.616008458591,539.488539286339,233822.801567231,182855.450690058,291047.884021308
15206,2018,563.390679616487,28.5518119104933,133470,507.429649099381,619.351710133593,317409.057878727,257484.848785121,383596.540845406
15207,2018,478.99203474825,28.5702409901962,133470,422.9948835711,534.989185925399,229433.369352268,178924.671527329,286213.429057121
15208,2018,545.417889906968,28.6212935969377,133470,489.320676551881,601.515103262056,297480.67463057,239434.72450119,361820.419452361
15209,2018,495.779386862931,28.5627803333158,133470,439.796858437174,551.761915288688,245797.200438184,193421.276691207,304441.211163042
15210,2018,425.93844113541,28.540451464356,133470,369.999676885502,481.877205385318,181423.555636863,136899.760895376,232205.641069964
15211,2018,538.908524799328,28.5759748408091,133470,482.900135379571,594.916914219085,290422.398101388,233192.540749608,353926.134823958
15212,2018,483.083793890145,28.5404713227651,133470,427.144990718118,539.022597062173,233369.951919296,182452.843095581,290545.360143649
15213,2018,595.571702245917,28.5722518903849,133470,539.570609741079,651.572794750755,354705.652516099,291136.44289636,424547.106859309
15214,2018,456.359952371234,28.5585362824407,133470,400.385742207774,512.334162534694,208264.406128275,160308.74256327,262486.294100126
15215,2018,556.726173847076,28.5608298318444,133470,500.747468368622,612.704879325529,309944.032646404,250748.027077584,375407.269149311
15216,2018,517.792255332454,28.5448019809479,133470,461.844964149386,573.739546515522,268108.819682269,213300.770910148,329177.067235837
15217,2018,635.083594834672,28.5462108476338,133470,579.133542298599,691.033647370745,403331.17242813,335395.659815323,477527.501798515
15218,2018,517.950607128204,28.556615348076,133470,461.980161961058,573.92105229535,268272.831424475,213425.670045566,329385.374267802
15219,2018,484.047118319427,28.5940399047898,133470,428.003321703801,540.090914935052,234301.612753341,183186.843389487,291698.196395382
15220,2018,478.387297463379,28.552117982255,133470,422.425667051204,534.348927875555,228854.406374316,178443.444183655,285528.776721755
15221,2018,454.343331921928,28.5330651636572,133470,398.419044686653,510.267619157204,206427.86326192,158737.735169025,260373.043160361
15222,2018,610.477092820705,28.9522102251789,133470,553.731288910676,667.222896730735,372682.28085882,306618.340318679,445186.393921753
15223,2018,495.322269298535,28.6037376439646,133470,439.259465291028,551.385073306041,245344.15046305,192948.87784776,304025.499064709
15224,2018,582.934094181661,28.6032221490016,133470,526.872300534878,638.995887828444,339812.158159394,277594.421070915,408315.744661661
15226,2018,491.309088452715,28.5536410374802,133470,435.344472880081,547.273704025349,241384.620396238,189524.810067236,299508.507117625
15227,2018,473.059208195771,28.5285763502599,133470,417.143718952872,528.974697438671,223785.01445881,174008.882261832,279814.230530333
15228,2018,573.389472929414,28.553547775698,133470,517.425040148172,629.353905710656,328775.487666271,267728.672172337,396086.338633258
15229,2018,519.29759417556,28.552176625304,133470,463.335848824078,575.259339527041,269669.991316524,214680.108805529,330923.307713088
15232,2018,682.526878288434,28.6210822777292,133470,626.43007911514,738.623677461728,465842.939586155,392414.644020201,545564.936907086
15233,2018,514.05240879568,28.857042566709,133470,457.493131760252,570.611685831108,264249.878988641,209299.965607803,325597.696007019
15234,2018,498.346415028585,28.5511270360655,133470,442.386726852864,554.306103204305,248349.149371842,195706.016095591,307255.256049542
15235,2018,417.951457345745,28.5174809452962,133470,362.057714894178,473.845199797312,174683.420697432,131085.788914394,224529.273370954
15236,2018,489.763965758428,28.5243405350957,133470,433.856778635983,545.671152880873,239868.742155422,188231.704368392,297757.007086341
15237,2018,512.229424807376,28.5089057984448,133470,456.352489487214,568.106360127537,262378.983638495,208257.594661178,322744.836417359
15238,2018,545.962427947255,28.526539892475,133470,490.050930124466,601.873925770044,298074.972730062,240149.914115855,362252.222521845
15239,2018,465.9551119575,28.5470082283423,133470,410.003496569784,521.906727345216,217114.166359327,168102.867199449,272386.632048194
15241,2018,510.932972897837,28.5377127132204,133470,454.999576550196,566.866369245478,261052.502794222,207024.614660858,321337.480581551
15243,2018,540.095492998377,28.5550358891031,133470,484.128143542007,596.062842454748,291703.14155716,234380.05936943,355290.912155234
15201,2019,602.049854454551,28.5630890275718,133470,546.066720993683,658.03298791542,362464.027248747,298188.863776793,433007.413184895
15202,2019,500.766057099326,28.5368354530149,133470,444.834380165685,556.697734032967,250766.643942805,197877.625777389,309912.36707744
15203,2019,588.113408380994,28.5868284805947,133470,532.083746025244,644.143070736744,345877.38111751,283113.112784256,414920.295578162
15204,2019,427.519321695669,28.5801518832625,133470,371.502745348899,483.535898042439,182772.770423125,138014.289801769,233806.964695708
15205,2019,488.054360018973,28.5343970486463,133470,432.127462313414,543.981257724531,238197.058333529,186734.143685431,295915.608755563
15206,2019,567.892765762995,28.5471927467722,133470,511.940788722522,623.844742803468,322502.193405944,262083.371157838,389182.263123525
15207,2019,483.494120894757,28.5651118966401,133470,427.507022647416,539.481219142099,233766.564939794,182762.254412858,291039.985807046
15208,2019,549.919976053476,28.6162809331151,133470,493.832587428042,606.00736467891,302411.980062656,243870.624405875,367244.926045077
15209,2019,500.281473009439,28.558154725792,133470,444.30801069005,556.254935328827,250281.552236494,197409.60836335,309419.553077678
15210,2019,430.440527281918,28.5357376733443,133470,374.511001976407,486.37005258743,185279.047526736,140258.490601372,236555.828053899
15211,2019,543.410610945836,28.5711835357358,133470,487.411612396622,599.409609495049,295295.092088526,237570.079899075,359291.879955008
15212,2019,487.585880036653,28.5356117308514,133470,431.65660157613,543.515158497176,237739.990411117,186327.421684254,295408.72751621
15213,2019,600.073788392425,28.5678182279894,133470,544.081385785006,656.066190999844,360088.551515637,296024.554357732,430422.846973044
15214,2019,460.862038517741,28.5537210852152,133470,404.897266053007,516.826810982476,212393.818546728,163941.7960572,267109.952550316
15215,2019,561.228259993584,28.5564652668979,133470,505.258108982809,617.198411004358,314977.159815425,255285.756692884,380933.878546305
